s_district_id,s_state_id,district_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,cnt_students,cnt_teachers,cnt_schools,info_setting,ratio_teach,dist_type,biz_phone,X.1
200050,3,ALASKA GATEWAY SCHOOL DISTRICT,P.O. BOX 226,Tok,AK,99780,,USA,Southeast Fairbanks,907,2240,NA,NA,PST-1,Y,63.798,63.3366667,-142.3216,-142.9855556,463,31,8,Rural: Remote,14.9,Regular School District,(907) 883-5151,
200010,4,ALEUTIAN REGION SCHOOL DISTRICT,P.O. BOX 92230,Anchorage,AK,99509,,USA,Anchorage,907,2020,380,NA,PST-1,Y,61.1783,61.1988645,-149.8802,-149.9187186,39,6,3,Rural: Remote,6.5,Regular School District,(907) 277-2648,
200007,56,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,P.O. BOX 429,Sand Point,AK,99661,99661-0429,USA,Aleutians East,907,2013,NA,NA,PST-1,Y,55.2693,55.3397222,-160.6842,-160.4972222,275,34,7,Rural: Remote,8,Regular School District,(907) 383-5222,
200180,5,ANCHORAGE SCHOOL DISTRICT,5530 E Northern Lights Blvd,Anchorage,AK,99504,99504-3135,USA,Anchorage,907,2020,380,NA,PST-1,Y,61.2016,61.195052,-149.7414,-149.777298,48837,2839,98,City: Large,17.2,Regular School District,(907) 742-4312,
200525,6,ANNETTE ISLAND SCHOOL DISTRICT,P.O. BOX 7,Metlakatla,AK,99926,99926-0007,USA,Prince of Wales Hyder,907,2198,NA,NA,PST-1,Y,55.131,55.1291667,-131.4934,-131.5722222,273,29,3,Rural: Remote,9.3,Regular School District,(907) 886-6332,
200020,7,BERING STRAIT SCHOOL DISTRICT,P.O. BOX 225,Unalakleet,AK,99684,99684-0225,USA,Nome,907,2180,NA,NA,PST-1,Y,63.5109,63.8730556,-160.7321,-160.7880556,1671,171,15,Rural: Remote,9.8,Regular School District,(907) 624-3611,
200030,8,BRISTOL BAY BOROUGH SCHOOL DISTRICT,P.O. BOX 169,Naknek,AK,99633,99633-0169,USA,Bristol Bay,907,2060,NA,NA,PST-1,Y,58.8355,58.7283333,-156.7111,-157.0138889,145,14,2,Rural: Remote,10.3,Regular School District,(907) 246-4225,
200730,9,CHATHAM SCHOOL DISTRICT,P.O. BOX 109,Angoon,AK,99820,,USA,Hoonah Angoon,907,2105,NA,NA,PST-1,Y,57.6863,57.4477717,-134.3814,-134.4928198,157,18,5,Rural: Remote,8.8,Regular School District,(907) 788-3302,
200800,10,CHUGACH SCHOOL DISTRICT,"9312 Vanguard Dr, #100",Anchorage,AK,99507,99507-5317,USA,Anchorage,907,2020,380,NA,PST-1,Y,61.1515,61.13667,-149.8227,-149.847864,246,11,4,City: Large,22.2,Regular School District,(907) 522-7400,
200070,11,COPPER RIVER SCHOOL DISTRICT,P.O. BOX 108,Glennallen,AK,99588,,USA,Valdez Cordova,907,2261,NA,NA,PST-1,Y,62.095,62.1097214,-146.403,-145.557302,511,37,8,Rural: Remote,14,Regular School District,(907) 822-3234,
200060,12,CORDOVA CITY SCHOOL DISTRICT,P.O. BOX 140,Cordova,AK,99574,99574-0140,USA,Valdez Cordova,907,2261,NA,NA,PST-1,Y,60.5501,60.5387163,-145.7515,-145.700553,372,26,2,Rural: Remote,14.5,Regular School District,(907) 424-3265,
200090,13,CRAIG CITY SCHOOL DISTRICT,P.O. BOX 800,Craig,AK,99921,,USA,Prince of Wales Hyder,907,2198,NA,NA,PST-1,Y,55.3767,55.4763889,-132.9646,-133.1483333,736,32,5,Rural: Remote,23.1,Regular School District,(907) 826-3274,
200100,14,DELTA/GREELY SCHOOL DISTRICT,P.O. BOX 527,Delta Junction,AK,99737,99737-0527,USA,Southeast Fairbanks,907,2240,NA,NA,PST-1,Y,63.724,64.0377778,-145.6666,-145.7322222,1169,61,7,Rural: Remote,19.1,Regular School District,(907) 895-4781,
200770,2,DENALI BOROUGH SCHOOL DISTRICT,P.O. BOX 280,Healy,AK,99743,99743-0280,USA,Denali,907,2068,NA,NA,PST-1,Y,64.1305,63.8569444,-148.8159,-148.9661111,425,26,4,Rural: Remote,16.5,Regular School District,(907) 683-2278,
200120,15,DILLINGHAM CITY SCHOOL DISTRICT,P.O. BOX 170,Dillingham,AK,99576,,USA,Dillingham,907,2070,NA,NA,PST-1,Y,59.3265,59.0397222,-160.0954,-158.4575,507,39,2,Rural: Remote,13.1,Regular School District,(907) 842-5223,
200600,16,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,520 5th Ave,Fairbanks,AK,99701,99701-4718,USA,Fairbanks North Star,907,2090,NA,NA,PST-1,Y,64.5037,64.842032,-147.6591,-147.717754,14328,805,34,City: Small,17.8,Regular School District,(907) 452-2000,
200130,17,GALENA CITY SCHOOL DISTRICT,P.O. BOX 299,Galena,AK,99741,99741-0299,USA,Yukon Koyukuk,907,2290,NA,NA,PST-1,Y,65.8263,64.7513942,-154.4373,-156.8819802,3721,63,4,Rural: Fringe,59.1,Regular School District,(907) 656-1205,
200270,18,HAINES BOROUGH SCHOOL DISTRICT,P.O. BOX 1289,Haines,AK,99827,99827-1289,USA,Haines,907,2100,NA,NA,PST-1,Y,59.1202,59.2358333,-135.7004,-135.445,312,22,4,Rural: Remote,14.5,Regular School District,(907) 766-6725,
200300,19,HOONAH CITY SCHOOL DISTRICT,P.O. BOX 157,Hoonah,AK,99829,99829-0157,USA,Hoonah Angoon,907,2105,NA,NA,PST-1,Y,57.843,58.11,-135.6477,-135.4436111,126,11,2,Rural: Remote,12,Regular School District,(907) 945-3611,
200330,20,HYDABURG CITY SCHOOL DISTRICT,P.O. BOX 109,Hydaburg,AK,99922,99922-0109,USA,Prince of Wales Hyder,907,2198,NA,NA,PST-1,Y,55.1303,55.2086208,-132.351,-132.8206579,69,9,1,Rural: Remote,8.1,Regular School District,(907) 285-3491,
200520,21,IDITAROD AREA SCHOOL DISTRICT,P.O. BOX 90,McGrath,AK,99627,,USA,Yukon Koyukuk,907,2290,NA,NA,PST-1,Y,63.1005,62.9532043,-155.1539,-155.5959922,282,20,9,Rural: Remote,14.5,Regular School District,(907) 524-3033,
200210,22,JUNEAU BOROUGH SCHOOL DISTRICT,10014 Crazy Horse Dr,Juneau,AK,99801,99801-8529,USA,Juneau,907,2110,NA,NA,PST-1,Y,58.779,58.366171,-134.5653,-134.605301,5036,333,14,Town: Remote,15.1,Regular School District,(907) 523-1700,
200360,23,KAKE CITY SCHOOL DISTRICT,P.O. BOX 450,Kake,AK,99830,,USA,Petersburg,907,2195,NA,NA,PST-1,Y,56.9756,56.9758333,-133.9446,-133.9472222,96,10,1,Rural: Remote,9.7,Regular School District,(907) 785-3741,
200005,55,KASHUNAMIUT SCHOOL DISTRICT,PO BOX 345,Chevak,AK,99563,,USA,Wade Hampton,907,2270,NA,NA,PST-1,Y,61.3576,61.5277778,-164.4631,-165.5863889,317,29,1,Rural: Remote,10.8,Regular School District,(907) 858-7713,
200390,24,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,148 N Binkley St,Soldotna,AK,99669,99669-7520,USA,Kenai Peninsula,907,2122,NA,NA,PST-1,Y,60.4453,60.489678,-151.1785,-151.072204,9487,570,44,Rural: Remote,16.7,Regular School District,(907) 714-8888,
